Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
300000,0.052587237,7.8158765,None,None,None,6.210938,0.06330386,9.707738e-05,0.1,9.7369644e-05,1.0
310000,0.04638147,7.9141607,999.0,-1.0000000596046448,-1.0000000596046448,2.4179904,0.018762449,9.6938835e-05,0.1,9.724495e-05,1.0
320000,0.034510944,7.4131274,None,None,None,None,None,None,None,None,1.0
330000,0.03308606,6.1061783,999.0,-1.0000000596046448,-1.0000000596046448,3.248448,0.017413627,9.679739e-05,0.1,9.711765e-05,1.0
340000,0.01770123,5.934736,999.0,-1.0000000596046448,-1.0000000596046448,2.071324,0.021313032,9.6658834e-05,0.1,9.699295e-05,1.0
350000,0.0054050875,4.81132,None,None,None,1.8182716,0.014116208,9.651739e-05,0.1,9.686566e-05,1.0
360000,0.010022282,4.880164,999.0,-1.0000000596046448,-1.0000000596046448,None,None,None,None,None,1.0
370000,0.01898099,3.0615027,None,-1.0000000596046448,-1.0000000596046448,0.9713868,0.02195305,9.6378826e-05,0.1,9.6740936e-05,1.0
380000,0.014519394,1.718695,None,None,None,1.731359,0.017184384,9.6237396e-05,0.1,9.661366e-05,1.0
390000,0.030175012,2.0770295,999.0,-1.0000000596046448,-1.0000000596046448,None,None,None,None,None,1.0
400000,0.009115191,3.6495337,None,-1.0000000596046448,-1.0000000596046448,0.76050466,0.015305915,9.609884e-05,0.1,9.648895e-05,1.0
410000,0.010345411,4.2951,None,None,None,0.99849254,0.018098388,9.5957395e-05,0.1,9.636165e-05,1.0
420000,0.026999403,3.3720906,999.0,-1.0000000596046448,-1.0000000596046448,0.5051945,0.014958049,9.581884e-05,0.1,9.623695e-05,1.0
430000,0.02934177,2.623584,None,None,None,None,None,None,None,None,1.0
440000,0.028280895,2.7393444,None,None,None,0.75797486,0.016484322,9.567738e-05,0.1,9.610966e-05,1.0
450000,0.027335932,2.9472992,999.0,-1.0000000596046448,-1.0000000596046448,0.5681912,0.014731192,9.5538824e-05,0.1,9.5984935e-05,1.0
460000,0.0107431365,3.3742797,None,None,None,None,None,None,None,None,1.0
